发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/8/28,12:23:18,2025,10:24,624.29,甄嬛不就是把陵容当跟班吗,fb0cb54d...,白色,#FFFFFF,滚动弹幕,正常,12
2025/8/22,16:12:42,2025,2:03,123.35,不是绿豆汤折现，是嫔妃例菜减半折现,58eee124...,白色,#FFFFFF,滚动弹幕,正常,17
2025/8/20,14:56:19,2025,2:13,133.85,5,27a77286...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/20,2:57:11,2025,11:54,714.87,大菊困了,db281732...,白色,#FFFFFF,滚动弹幕,正常,4
2025/8/18,18:05:15,2025,11:19,679.34,此时芳若：集合集合，兄弟们集合，发赏钱,a36d09ce...,白色,#FFFFFF,滚动弹幕,正常,19
2025/8/14,9:09:17,2025,5:18,318.35,喜接广,7ca27678...,白色,#FFFFFF,滚动弹幕,正常,3
2025/8/11,12:17:45,2025,4:14,254.37,其实甄嬛传很多地方都是细节这就是好剧,4a00cf56...,白色,#FFFFFF,滚动弹幕,正常,18
2025/8/11,12:16:12,2025,2:05,125.89,笑死我了,4a00cf56...,白色,#FFFFFF,滚动弹幕,正常,4
2025/8/10,10:45:49,2025,5:11,311.07,这个扭蛋机我很需要。！,25a44683...,白色,#FFFFFF,滚动弹幕,正常,11
2025/8/7,12:50:36,2025,11:26,686.16,他们这种家庭都有宅斗,36afaac1...,白色,#FFFFFF,滚动弹幕,正常,10
2025/8/7,12:33:25,2025,2:14,134.06,5,63e13de2...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/5,18:31:58,2025,2:16,136.05,5,f583592c...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/5,18:16:43,2025,2:15,135.06,5,84bc0330...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/5,2:50:20,2025,11:24,684.56, 那就不眷顾你，关到死，温太医你也不用见了……,1dfcea05...,白色,#FFFFFF,滚动弹幕,正常,23
2025/8/3,18:36:22,2025,2:15,135.33,5,2464b1df...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/1,22:10:26,2025,15:16,916.23,芳若姑姑像是急着上厕所,a87a8c99...,白色,#FFFFFF,滚动弹幕,正常,11
2025/7/31,19:38:00,2025,4:40,280,这时候桌布上的流苏都是零散残破的,62b10ca3...,白色,#FFFFFF,滚动弹幕,正常,16
2025/7/30,20:10:32,2025,2:17,137.82,5,7d896f3a...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/30,18:12:33,2025,2:15,135.52,5,2163b116...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/23,0:11:09,2025,14:23,863.59,一语成谶,4f1aebc6...,白色,#FFFFFF,滚动弹幕,正常,4
2025/7/22,21:04:02,2025,11:48,708.93,山西人,94d1114c...,白色,#FFFFFF,滚动弹幕,正常,3
2025/7/22,12:59:46,2025,15:46,946.76,两件事严重程度不一样,65638a80...,白色,#FFFFFF,滚动弹幕,正常,10
2025/7/21,19:33:58,2025,8:35,515.77,异议！,676e6f5f...,白色,#FFFFFF,滚动弹幕,正常,3
2025/7/20,14:06:29,2025,2:12,132.79,5,3ed3267b...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/18,19:43:24,2025,14:10,850.61,眉姐姐的声音真好听,acb64727...,白色,#FFFFFF,滚动弹幕,正常,9
2025/7/17,16:23:42,2025,3:46,226.04,这段看的真的想哭,860e597c...,白色,#FFFFFF,滚动弹幕,正常,8
2025/7/14,9:50:04,2025,2:15,135.16,5,a6f418b4...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/14,0:35:49,2025,14:33,873.76,不不不，会更惨，成了莫愁,998ef7f...,白色,#FFFFFF,滚动弹幕,正常,12
2025/7/10,22:26:33,2025,2:38,158.95,胆子也忒大了,eb4b499...,白色,#FFFFFF,滚动弹幕,正常,6
2025/7/8,23:32:08,2025,2:12,132.37,5,9fd464d3...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/8,20:37:15,2025,2:36,156.11,给钱了的，不给下次来就没机会了,7c3a7182...,深红色,#E70012,顶部弹幕,正常,15
2025/7/8,19:50:28,2025,2:17,137.74,5,28547336...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/8,13:24:53,2025,1:21,81.12,前面的想男人想疯了？,70951af3...,白色,#FFFFFF,滚动弹幕,正常,10
2025/7/5,23:39:43,2025,2:16,136.87,5,7a9aa459...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/1,21:18:13,2025,2:20,141,5,a97badb6...,白色,#FFFFFF,滚动弹幕,正常,1
2025/7/1,12:22:24,2025,0:06,6.57,大盘鸡,23379722...,白色,#FFFFFF,滚动弹幕,正常,3
2025/6/29,12:48:39,2025,11:25,685.85,想多了。,61a4b104...,白色,#FFFFFF,滚动弹幕,正常,4
2025/6/26,14:21:49,2025,8:48,528.66,皇后也不会难说，皇后让你孕只是不让你生罢了,9b22cbc8...,白色,#FFFFFF,滚动弹幕,正常,21
2025/6/23,21:28:57,2025,14:29,869.8,你只是在宫里，他都被打出凌云峰了,94afbc8a...,白色,#FFFFFF,滚动弹幕,正常,16
2025/6/23,15:17:56,2025,2:15,135.03,5,5bd569e2...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/21,8:29:53,2025,2:16,136.64,5,ad326b66...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/20,10:13:11,2025,2:19,139.63,5,d7bc3987...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/19,10:51:01,2025,2:15,135.34,5,6456bd0a...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/18,16:23:31,2025,2:16,136.94,5,fbe81fcb...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/17,10:00:47,2025,9:19,559.94,也是老登不中用啊,b3bf989f...,白色,#FFFFFF,滚动弹幕,正常,8
2025/6/17,6:20:33,2025,14:08,848.97,眉姐姐好美,f08f44d0...,白色,#FFFFFF,滚动弹幕,正常,5
2025/6/13,21:31:26,2025,2:18,138.33,5,326e0b57...,白色,#FFFFFF,滚动弹幕,正常,1
2025/6/10,12:07:24,2025,2:05,125.36,如懿传田姥姥,30bccab1...,白色,#FFFFFF,滚动弹幕,正常,6
